GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1
10129600|Due from China Pay-Direct RMB|CPDIR188(F)|WeiHueiPay-95ePay-100081(Float)|Gateway|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR189(A)|HaiPay-HaiPay-196(Available)|Gateway|China|Debit|RMB| 12,332,235.15 | 15,607,815.54 ||
10129600|Due from China Pay-Direct RMB|CPDIR189(F)|HaiPay-HaiPay-196(Float)|Gateway|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR190(A)|Xiao-Baofoo-200(Available)|Gateway|China|Debit|RMB| 12,636,424.12 | 16,013,260.05 ||
10129600|Due from China Pay-Direct RMB|CPDIR190(F)|Xiao-Baofoo-200(Float)|Gateway|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR194(A)|LinkinPay-ECPSS-053(Available)|Hybrid|China|Debit|RMB| 1,480,037.31 | 1,849,814.31 ||
10129600|Due from China Pay-Direct RMB|CPDIR194(F)|LinkinPay-ECPSS-053(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR195(A)|ECPSS-ECPSS-17609(Available)|Hybrid|China|Debit|RMB| 892,417.26 | 1,125,644.23 ||
10129600|Due from China Pay-Direct RMB|CPDIR195(F)|ECPSS-ECPSS-17609(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR196(A)|ECPSS-ECPSS-17610(Available)|Hybrid|China|Debit|RMB| 845,877.84 | 1,066,660.56 ||
10129600|Due from China Pay-Direct RMB|CPDIR196(F)|ECPSS-ECPSS-17610(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR197(A)|ToMerchantPay-95ePay-880115(Available)|Hybrid|China|Debit|RMB| 14.80 | 18.66 ||
10129600|Due from China Pay-Direct RMB|CPDIR197(F)|ToMerchantPay-95ePay-880115(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR198(A)|HaiPay-FL-172(Available)|Voucher|China|Debit|RMB| 85.76 | 108.43 ||
10129600|Due from China Pay-Direct RMB|CPDIR198(F)|HaiPay-FL-172(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR200(A)|Xiao-Baofoo-202(Available)|Hybrid|China|Debit|RMB| 1,904,417.88 | 2,417,082.47 ||
10129600|Due from China Pay-Direct RMB|CPDIR200(F)|Xiao-Baofoo-202(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR201(A)|HaiPay-FL-170(Available)|Hybrid|China|Debit|RMB| 136,667.08 | 173,281.35 ||
10129600|Due from China Pay-Direct RMB|CPDIR201(F)|HaiPay-FL-170(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR202(A)|YeePay-YeePay-9086(Available)|Gateway|China|Debit|RMB| 1,953,920.14 | 2,474,422.35 ||
10129600|Due from China Pay-Direct RMB|CPDIR202(F)|YeePay-YeePay-9086(Float)|Gateway|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR203(A)|YeePay-YeePay-9117(Available)|Hybrid|China|Debit|RMB| 52.38 | 66.14 ||
10129600|Due from China Pay-Direct RMB|CPDIR203(F)|YeePay-YeePay-9117(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR204(A)|Xiao-Baofoo-204(Available)|Voucher|China|Debit|RMB| 64.03 | 80.90 ||
10129600|Due from China Pay-Direct RMB|CPDIR204(F)|Xiao-Baofoo-204(Float)|Voucher|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR205(A)|Xiao-Baofoo-205(Available)|Hybrid|China|Debit|RMB| 11,838.52 | 15,047.06 ||
10129600|Due from China Pay-Direct RMB|CPDIR205(F)|Xiao-Baofoo-205(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR206(A)|Xiao-UnicomPay-208(Available)|Hybrid|China|Debit|RMB| 2,878,378.66 | 3,621,498.82 ||
10129600|Due from China Pay-Direct RMB|CPDIR206(F)|Xiao-UnicomPay-208(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR207(A)|YeePay-YeePay-5785(Available)|Hybrid|China|Debit|RMB| 1,583,253.59 | 2,004,240.44 ||
10129600|Due from China Pay-Direct RMB|CPDIR207(F)|YeePay-YeePay-5785(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR209(A)|HaiPay-FL-174(Available)|Hybrid|China|Debit|RMB| 1,489,112.12 | 1,875,144.61 ||
